precinct,measure,value
PI-08,% with college degree,0.720269887492295
PI-18,% with college degree,0.713029752399831
PI-25,% with college degree,0.66443342513807
PI-26,% with college degree,0.414842140984891
PI-02,% with college degree,0.708919145992544
PI-09,% with college degree,0.703650680028633
PI-10,% with college degree,0.658536642673031
PI-01,% with college degree,0.684495192307692
PI-04,% with college degree,0.561135757217175
PI-05,% with college degree,0.601251853618046
PI-06,% with college degree,0.614232393756011
PI-03,% with college degree,0.578525736403792
PI-07,% with college degree,0.510806470636008
PI-11,% with college degree,0.521838415159465
PI-12,% with college degree,0.470558115719406
PI-13,% with college degree,0.360336872396412
PI-17,% with college degree,0.487582437968789
PI-34,% with college degree,0.818483223537051
PI-41,% with college degree,0.818910256410256
WY-01,% with college degree,0.371257332997525
WY-02,% with college degree,0.450152066781615
PI-33,% with college degree,0.672865013774105
PI-44,% with college degree,0.672865013774105
PI-35,% with college degree,0.646406225026702
PI-42,% with college degree,0.647822765469824
PI-45,% with college degree,0.487204724409449
PI-46,% with college degree,0.430883394230275
PI-47,% with college degree,0.411170928667564
PI-14,% with college degree,0.306584362139918
PI-15,% with college degree,0.545803620405924
PI-16,% with college degree,0.545803620405924
PI-19,% with college degree,0.474449132676981
PI-20,% with college degree,0.474449132676981
PI-21,% with college degree,0.355499116006251
PI-22,% with college degree,0.487252250920249
PI-24,% with college degree,0.389194893157005
PI-23,% with college degree,0.482645115618086
PI-48,% with college degree,0.122055809608083
PI-36,% with college degree,0.453775582215949
32-02,% with college degree,0.117733003208401
PI-43,% with college degree,0.342923585248362
32-01,% with college degree,0.158931099777317
PI-49,% with college degree,0.245269286754003
32-03,% with college degree,0.203929625586285
PI-31,% with college degree,0.50903581566891
WS-52,% with college degree,0.338861845344611
PI-32,% with college degree,0.538939152924309
PI-30,% with college degree,0.298892938776885
PI-28,% with college degree,0.429815499086218
PI-29,% with college degree,0.332734889287852
PI-27,% with college degree,0.397708902084026
PI-50,% with college degree,0.382988924616163
PI-39,% with college degree,0.218861918906843
PI-40,% with college degree,0.467438734828946
PI-51,% with college degree,0.505250154416306
WS-67,% with college degree,0.739351422051974
PI-38,% with college degree,0.36766575035387
PI-37,% with college degree,0.434022257551669
WS-02,% with college degree,0.561659221796413
WS-11,% with college degree,0.653033401499659
WS-12,% with college degree,0.633365935401733
WS-01,% with college degree,0.348133848133848
WS-03,% with college degree,0.700141888955448
WS-04,% with college degree,0.642269039564092
WS-05,% with college degree,0.471691287411808
WS-13,% with college degree,0.371559297409446
WS-31,% with college degree,0.492742526844506
WS-24,% with college degree,0.415549597855228
WS-23,% with college degree,0.415932331821798
WS-14,% with college degree,0.713209487598948
WS-25,% with college degree,0.744496383206752
21-02,% with college degree,0.809669241934288
WS-26,% with college degree,0.826951747155869
WS-27,% with college degree,0.779765851270584
WS-42,% with college degree,0.637915002281007
WS-18,% with college degree,0.737692509500635
WS-17,% with college degree,0.847826086956522
WS-06,% with college degree,0.576417131983978
WS-07,% with college degree,0.229558026147925
WS-08,% with college degree,0.627727031471532
WS-09,% with college degree,0.71817610861739
WS-37,% with college degree,0.624863685932388
WS-19,% with college degree,0.797790041447548
WS-36,% with college degree,0.678697183098592
WS-10,% with college degree,0.66506189821183
WS-22,% with college degree,0.677281952332631
WS-29,% with college degree,0.750225290420582
WS-20,% with college degree,0.677559912854031
WS-28,% with college degree,0.761928019223281
WS-38,% with college degree,0.686440677966102
WS-21,% with college degree,0.677290836653386
WS-46,% with college degree,0.385355167528948
WS-47,% with college degree,0.397111019283746
WS-48,% with college degree,0.3991370176586
WS-44,% with college degree,0.669805696128463
WS-45,% with college degree,0.670384583017756
21-06,% with college degree,0.816792492713732
WS-43,% with college degree,0.649343751252724
WS-35,% with college degree,0.467324290998767
21-01,% with college degree,0.745631042760048
21-03,% with college degree,0.733950378941158
WS-15,% with college degree,0.7168706108669
WS-16,% with college degree,0.638239069109054
WS-34,% with college degree,0.84878469263462
WS-33,% with college degree,0.547309833024119
WS-41,% with college degree,0.486292321809019
WS-51,% with college degree,0.436793422404933
WS-40,% with college degree,0.630513302679321
WS-50,% with college degree,0.576637052745454
WS-32,% with college degree,0.74934725848564
WS-30,% with college degree,0.307683706831522
WS-39,% with college degree,0.210903795792155
WS-49,% with college degree,0.218714768883878
WS-53,% with college degree,0.298945264314995
WS-64,% with college degree,0.566731371865737
20-09,% with college degree,0.364208719999444
WS-68,% with college degree,0.740878169449598
WS-57,% with college degree,0.531049714526536
WS-54,% with college degree,0.628433009639159
WS-55,% with college degree,0.627184535008771
WS-58,% with college degree,0.48665159693262
WS-59,% with college degree,0.541247484909457
21-04,% with college degree,0.845768387319962
21-07,% with college degree,0.839326651213128
21-08,% with college degree,0.819964004812679
21-05,% with college degree,0.758280611001121
WS-63,% with college degree,0.604959085696615
LA-43,% with college degree,0.686540723946895
21-13,% with college degree,0.581906624062505
WS-61,% with college degree,0.711901493673679
21-09,% with college degree,0.565004215119456
WS-56,% with college degree,0.653149891383056
WS-62,% with college degree,0.44809037505866
WS-65,% with college degree,0.592928377153219
WS-66,% with college degree,0.592928377153219
WS-60,% with college degree,0.39797197157167
31-01,% with college degree,0.285754191256494
21-11,% with college degree,0.702255551817719
21-12,% with college degree,0.59971155853538
22-02,% with college degree,0.667782495734947
22-05,% with college degree,0.518073803276097
21-10,% with college degree,0.822066326408343
20-01,% with college degree,0.831007751937985
22-01,% with college degree,0.777195591779785
20-02,% with college degree,0.85251105208812
20-04,% with college degree,0.854022988505747
20-03,% with college degree,0.745434407874599
20-06,% with college degree,0.56669214465013
20-10,% with college degree,0.641871077180064
20-07,% with college degree,0.768673402891496
20-12,% with college degree,0.640857438432757
20-11,% with college degree,0.48539810760749
22-08,% with college degree,0.508200527164741
20-08,% with college degree,0.533757338947543
22-06,% with college degree,0.509408411585476
22-03,% with college degree,0.741948278746614
22-04,% with college degree,0.528616916934777
20-05,% with college degree,0.809731353797263
22-07,% with college degree,0.270464414915707
31-02,% with college degree,0.142193376167257
31-03,% with college degree,0.213136507944633
31-04,% with college degree,0.208689546857139
WS-69,% with college degree,0.456115107913669
LA-01,% with college degree,0.567733122875132
LA-02,% with college degree,0.615035043952727
LA-12,% with college degree,0.551019395073884
LA-03,% with college degree,0.702393340270552
LA-04,% with college degree,0.539874417687766
LA-20,% with college degree,0.432114571031059
LA-30,% with college degree,0.608246174251678
LA-31,% with college degree,0.522798251093067
LA-21,% with college degree,0.407116443359338
LA-22,% with college degree,0.518419502878018
LA-15,% with college degree,0.682156057031091
LA-24,% with college degree,0.833324146823225
LA-25,% with college degree,0.715909090909091
LA-26,% with college degree,0.590558065189231
LA-33,% with college degree,0.606707173818558
LA-47,% with college degree,0.568175915668274
LA-32,% with college degree,0.493838028169014
LA-23,% with college degree,0.586977817313459
LA-07,% with college degree,0.740396236890423
LA-08,% with college degree,0.750974930362117
LA-09,% with college degree,0.732518516874286
LA-16,% with college degree,0.623819876714161
LA-06,% with college degree,0.706303657104323
LA-05,% with college degree,0.639591242572076
LA-13,% with college degree,0.645324347093513
LA-14,% with college degree,0.645324347093513
LA-66,% with college degree,0.207543903412744
LA-67,% with college degree,0.334861635935531
27-12,% with college degree,0.128228976016843
27-14,% with college degree,0.184219009932237
LA-55,% with college degree,0.385267427491139
LA-56,% with college degree,0.352030456852792
LA-10,% with college degree,0.89988681715247
LA-11,% with college degree,0.868607265522423
LA-17,% with college degree,0.614452214452214
LA-27,% with college degree,0.613083846242836
LA-34,% with college degree,0.616455265414051
LA-40,% with college degree,0.681129630846219
LA-48,% with college degree,0.553077771860603
LA-18,% with college degree,0.598428633784374
LA-19,% with college degree,0.598428633784374
LA-29,% with college degree,0.559642147117296
LA-28,% with college degree,0.66356194388311
LA-49,% with college degree,0.370182950564422
LA-41,% with college degree,0.370182950564422
LA-42,% with college degree,0.334476834221309
LA-36,% with college degree,0.506003430531733
LA-35,% with college degree,0.666101050046661
LA-38,% with college degree,0.610207100591716
LA-39,% with college degree,0.610207100591716
LA-45,% with college degree,0.359343138148779
LA-37,% with college degree,0.724511747254327
27-02,% with college degree,0.273213017590337
LA-52,% with college degree,0.307991519326898
27-01,% with college degree,0.380302311982875
LA-51,% with college degree,0.420488111101575
LA-59,% with college degree,0.256485269029809
LA-53,% with college degree,0.265134674420299
LA-60,% with college degree,0.15646379889548
LA-58,% with college degree,0.168176631671952
LA-61,% with college degree,0.0966939043862121
LA-54,% with college degree,0
LA-62,% with college degree,0.139102564102564
LA-46,% with college degree,0.445789517521632
27-11,% with college degree,0.17606211600617
27-10,% with college degree,0.213120484232219
LA-65,% with college degree,0.204720818127856
LA-63,% with college degree,0.0814582332230265
27-09,% with college degree,0.163803657100222
27-08,% with college degree,0.146627275287409
LA-64,% with college degree,0.133584905660377
27-05,% with college degree,0.315116279069767
27-07,% with college degree,0.191190192228041
27-13,% with college degree,0.155653441693578
27-03,% with college degree,0.111763178654091
27-04,% with college degree,0.136983793633391
LA-57,% with college degree,0.185355544882681
27-06,% with college degree,0.080155383972918
WY-29,% with college degree,0.336098942511888
WY-30,% with college degree,0.457167414874182
WY-38,% with college degree,0.350868746188168
WY-39,% with college degree,0.304499151038933
WY-31,% with college degree,0.320890635232482
WY-32,% with college degree,0.336331915088135
29-01,% with college degree,0.18000055744621
29-08,% with college degree,0.21991341991342
WY-08,% with college degree,0.21991341991342
WY-07,% with college degree,0.332909783989835
WY-03,% with college degree,0.19708994757265
WY-04,% with college degree,0.161374133864623
WY-16,% with college degree,0.311368223480679
WY-17,% with college degree,0.485924112607099
WY-13,% with college degree,0.438693181899012
WY-06,% with college degree,0.422260893254407
WY-14,% with college degree,0.304425726441651
WY-05,% with college degree,0.229027962716378
WY-22,% with college degree,0.233256570145527
WY-11,% with college degree,0.350589441312148
WY-12,% with college degree,0.351058643090441
WY-09,% with college degree,0.396649637545307
29-09,% with college degree,0.345454545454545
29-02,% with college degree,0.173885350318471
WY-15,% with college degree,0.359735100124475
WY-21,% with college degree,0.347677069243579
29-04,% with college degree,0.121879264168882
29-03,% with college degree,0.0928961617295167
29-10,% with college degree,0.130990695734845
29-11,% with college degree,0.104112892683657
WY-10,% with college degree,0.302852894011886
29-05,% with college degree,0.084922331627503
29-07,% with college degree,0.313315291467221
29-06,% with college degree,0.280725898078967
29-16,% with college degree,0.125620147842254
29-15,% with college degree,0.234810329448357
29-18,% with college degree,0.102029177210337
29-12,% with college degree,0.183087027914614
29-13,% with college degree,0.183087027914614
29-17,% with college degree,0.0946176313074112
29-14,% with college degree,0.0958230958230958
WY-18,% with college degree,0.366352677931561
WY-23,% with college degree,0.331558298293611
WY-24,% with college degree,0.274094096472189
WY-25,% with college degree,0.0806335493160547
WY-26,% with college degree,0.0806335493160547
WY-27,% with college degree,0.297046938283821
WY-20,% with college degree,0.491499209721019
WY-28,% with college degree,0.462930958614752
WY-19,% with college degree,0.447723153713663
19-01,% with college degree,0.127353708079627
19-02,% with college degree,0.150064799158508
19-03,% with college degree,0.16657464611289
19-06,% with college degree,0.220592211295198
24-01,% with college degree,0.159213544508909
19-05,% with college degree,0.0773993808049536
19-04,% with college degree,0.0732312378537619
WY-36,% with college degree,0.149038641102793
WY-37,% with college degree,0.0799112097669257
WY-33,% with college degree,0.341213391685443
WY-40,% with college degree,0.292565024013714
WY-34,% with college degree,0.244078578815892
WY-42,% with college degree,0.414587332053743
WY-41,% with college degree,0.317913385826772
WY-35,% with college degree,0.315674891146589
WY-51,% with college degree,0.41920708406041
WY-56,% with college degree,0.275139854553154
WY-57,% with college degree,0.132643518398142
WY-55,% with college degree,0.421928817451206
WY-43,% with college degree,0.421928817451206
WY-44,% with college degree,0.260268714011516
WY-45,% with college degree,0.233695946394144
WY-49,% with college degree,0.260268714011516
WY-52,% with college degree,0.207114476023689
WY-53,% with college degree,0.109151047409041
WY-46,% with college degree,0.153770764504954
WY-50,% with college degree,0.160122238340954
WY-60,% with college degree,0.152824258153756
WY-58,% with college degree,0.0768796870158404
DE-03,% with college degree,0.152585826328496
WY-59,% with college degree,0.094105774195867
WY-47,% with college degree,0.168604549623283
WY-48,% with college degree,0.12736843769192
WY-54,% with college degree,0.181559945807462
24-04,% with college degree,0.0304286251241711
24-05,% with college degree,0.114374377754994
06-03,% with college degree,0.185303659200457
06-05,% with college degree,0.104775045729762
06-01,% with college degree,0.156890655701133
05-02,% with college degree,0.16633717452049
04-01,% with college degree,0.3272881028361
05-01,% with college degree,0.136069926577618
04-02,% with college degree,0.466428878899187
04-03,% with college degree,0.471530335358852
01-01,% with college degree,0.0787069107665587
01-02,% with college degree,0.146170199076413
23-02,% with college degree,0.103794066992508
04-04,% with college degree,0.327411277239666
23-01,% with college degree,0.0720268006700168
01-07,% with college degree,0.128670410407583
01-04,% with college degree,0.150144493058932
01-05,% with college degree,0.106573411767791
01-03,% with college degree,0.0994679035795848
01-06,% with college degree,0.148299742908285
01-08,% with college degree,0.0853088202757965
23-04,% with college degree,0.0748146017609054
03-01,% with college degree,0.371919442664724
23-03,% with college degree,0.231536866709221
04-05,% with college degree,0.346435120140704
05-03,% with college degree,0.1928949925835
05-06,% with college degree,0.114592279261378
06-04,% with college degree,0.0941356971068999
06-06,% with college degree,0.218925985964501
05-04,% with college degree,0.106584230900664
05-05,% with college degree,0.287234042553192
07-02,% with college degree,0.554508235438553
03-02,% with college degree,0.609091999006019
03-04,% with college degree,0.460201048451876
23-08,% with college degree,0.255724996334418
23-06,% with college degree,0.156699998107866
23-05,% with college degree,0.23254150455669
23-07,% with college degree,0.217213668575268
01-09,% with college degree,0.110341767460183
01-10,% with college degree,0.164426332568455
09-02,% with college degree,0.13600729653412
09-01,% with college degree,0.159044710057562
09-03,% with college degree,0.203802994738854
09-07,% with college degree,0.380562972897648
09-04,% with college degree,0.382544142574213
02-04,% with college degree,0.174996769485693
02-03,% with college degree,0.119306004013077
02-02,% with college degree,0.223495878105485
02-01,% with college degree,0.284315356367213
23-09,% with college degree,0.202070609679754
07-03,% with college degree,0.496049711975287
08-01,% with college degree,0.627206606770295
08-02,% with college degree,0.702495536153699
12-03,% with college degree,0.684159729835209
07-01,% with college degree,0.32644119758065
12-01,% with college degree,0.158235663844419
12-02,% with college degree,0.216791386391804
11-01,% with college degree,0.77447788133703
11-04,% with college degree,0.712244688590374
08-03,% with college degree,0.649578651685393
11-03,% with college degree,0.654970205122517
11-05,% with college degree,0.553209689991643
10-01,% with college degree,0.459434145087953
10-02,% with college degree,0.435484925699269
10-03,% with college degree,0.246645998981278
10-05,% with college degree,0.154185022026432
10-04,% with college degree,0.173200136918666
09-06,% with college degree,0.124298207687939
09-05,% with college degree,0.121157323688969
25-01,% with college degree,0.135045496215643
25-02,% with college degree,0.14194447370918
25-03,% with college degree,0.189494425020971
