precinct,% with college degree,"% white, non-Hispanic",Population density
PI-08,0.720269887492295,0.68753381394265,206.966837527435
PI-18,0.713029752399831,0.607702298586166,814.128592311512
PI-25,0.66443342513807,0.649482522553704,152.040791891488
PI-26,0.414842140984891,0.299577593330994,2504.46862597937
PI-02,0.708919145992544,0.740411609966505,114.594915685787
PI-09,0.703650680028633,0.546900713110258,172.993135321584
PI-10,0.658536642673031,0.506337087851886,128.753495363031
PI-01,0.684495192307692,0.625149700598802,170.773111075101
PI-04,0.561135757217175,0.527993564952283,439.159578656517
PI-05,0.601251853618046,0.652070627996672,1207.6437679698
PI-06,0.614232393756011,0.743216441867237,497.94872574118
PI-03,0.578525736403792,0.603755135349878,97.6294988001975
PI-07,0.510806470636008,0.644709352552362,1755.24075875479
PI-11,0.521838415159465,0.530725260512759,658.958733505682
PI-12,0.470558115719406,0.479017400204708,604.056600132924
PI-13,0.360336872396412,0.576336543616959,1183.28337481498
PI-17,0.487582437968789,0.388856105687268,804.728524017959
PI-34,0.818483223537051,0.854542795371129,611.894352199327
PI-41,0.818910256410256,0.855093256814921,611.688680662166
WY-01,0.371257332997525,0.812392338854842,869.17578746314
WY-02,0.450152066781615,0.7726301514235,988.941686761681
PI-33,0.672865013774105,0.666835443037975,165.026901670369
PI-44,0.672865013774105,0.666835443037975,502.887766315402
PI-35,0.646406225026702,0.424329730902885,735.816781245888
PI-42,0.647822765469824,0.476649746192893,501.957839317188
PI-45,0.487204724409449,0.421052631578947,247.543289846646
PI-46,0.430883394230275,0.30129040191028,1509.13948100125
PI-47,0.411170928667564,0.259373621526246,597.744823140921
PI-14,0.306584362139918,0.280417149478563,249.376242385133
PI-15,0.545803620405924,0.396685082872928,432.068468796861
PI-16,0.545803620405924,0.396685082872928,493.974406060457
PI-19,0.474449132676981,0.483233321567243,607.782219700813
PI-20,0.474449132676981,0.483233321567243,670.700533581932
PI-21,0.355499116006251,0.136273907750603,1036.4774842638
PI-22,0.487252250920249,0.222611074245833,623.870116252466
PI-24,0.389194893157005,0.134445199695794,1532.66548579043
PI-23,0.482645115618086,0.195659373650571,1366.9807176821
PI-48,0.122055809608083,0.121519392967254,3142.24076170886
PI-36,0.453775582215949,0.243304413428895,529.55881689442
32-02,0.117733003208401,0.0821802293649547,1767.71613850335
